frameIndex,wireToEnqueueMs,enqueueToPresentedMs,wireToPresentedMs,interFrameMs
0,52.674,7.738,60.412,
1,17.663,7.521,25.184,17.449
2,0.429,18.700,19.129,16.665
3,0.352,20.364,20.716,16.691
4,0.352,19.583,19.935,16.640
5,0.453,17.766,18.219,16.750
6,0.675,23.854,24.529,33.240
7,2.600,25.301,27.900,25.031
8,0.637,18.408,19.045,0.000
9,0.547,20.266,20.813,16.636
10,0.654,24.966,25.619,25.018
11,2.984,23.660,26.644,25.055
12,0.480,25.058,25.538,8.262
13,0.895,23.992,24.887,16.664
14,0.292,22.193,22.485,16.681
15,2.477,21.529,24.005,16.655
16,0.316,17.508,17.824,8.337
17,0.676,22.822,23.498,25.000
18,0.670,22.955,23.625,16.665
19,0.639,22.234,22.873,16.670
20,0.508,21.837,22.344,16.665
21,3.020,24.631,27.651,24.985
22,0.485,20.246,20.731,8.526
23,0.536,18.959,19.496,16.497
24,2.743,18.744,21.487,25.003
25,0.385,18.234,18.619,8.332
26,0.820,24.375,25.195,24.985
27,3.185,20.031,23.216,16.677
28,0.575,25.060,25.634,16.668
29,0.631,23.797,24.428,16.673
30,2.944,18.611,21.555,16.655
31,0.600,22.646,23.246,16.678
32,0.746,20.837,21.583,999.989
33,2.819,25.418,28.237,1016.676
34,0.525,20.072,20.597,1758.338
35,2.773,24.377,27.151,724.981
36,8.321,24.377,32.697,74.998
37,2.926,17.634,20.560,0.000
38,0.923,17.535,18.458,16.679
39,0.858,20.935,21.793,16.648
40,0.731,17.975,18.706,16.693
41,2.599,17.951,20.551,16.663
42,0.580,19.852,20.432,16.652
43,2.348,24.295,26.643,25.008
44,1.006,21.860,22.866,16.660
45,0.327,18.450,18.777,33.336
46,0.275,17.464,17.739,16.669
47,0.268,25.725,25.993,25.012
48,0.388,18.266,18.654,8.309
49,0.403,17.467,17.870,16.679
50,0.323,25.603,25.926,24.994
51,0.556,24.666,25.221,16.704
52,0.659,17.813,18.472,41.644
53,0.628,24.391,25.019,41.662
54,0.621,21.724,22.345,16.677
55,0.637,24.828,25.465,49.996
56,0.552,20.461,21.013,16.649
57,0.624,20.761,21.385,16.672
58,2.764,21.010,23.774,50.067
59,0.586,25.531,26.117,1008.277
60,0.349,21.970,22.319,1708.335
61,9.363,18.438,27.801,983.322
62,8.613,17.593,26.207,666.678
63,0.591,18.838,19.430,33.322
64,7.133,19.186,26.320,316.689
65,2.341,18.646,20.988,949.987
66,7.440,23.718,31.158,50.005
67,7.289,17.752,25.041,16.648
68,7.208,25.529,32.737,41.674
69,7.090,20.597,27.687,25.002
70,10.443,23.731,34.174,25.007
71,0.729,22.907,23.635,0.000
72,7.798,22.089,29.887,33.331
73,12.073,19.696,31.769,16.677
74,7.605,22.353,29.959,16.647
75,9.031,18.408,27.439,16.688
76,7.464,21.453,28.917,33.319
77,11.420,25.092,36.512,24.982
78,0.824,24.219,25.042,0.000
79,9.167,17.840,27.007,25.049
80,0.699,24.707,25.406,8.309
81,7.259,21.770,29.029,33.334
82,7.112,21.830,28.941,33.322
83,15.067,20.785,35.852,25.019
84,8.711,21.549,30.260,16.651
85,7.792,18.800,26.592,25.000
86,5.131,25.131,30.262,25.012
87,8.021,20.894,28.915,16.646
88,9.048,19.574,28.622,25.002
89,2.306,22.158,24.464,250.023
90,5.020,21.583,26.603,33.316
91,0.986,18.552,19.538,183.343
92,2.965,18.814,21.779,24.993
93,2.641,23.049,25.690,49.990
94,7.460,17.774,25.235,925.012
95,7.329,18.008,25.336,1033.337
96,7.397,24.720,32.118,1024.986
97,8.696,19.512,28.208,808.315
98,3.399,18.401,21.800,8.337
99,2.595,25.197,27.792,25.016
100,2.599,21.304,23.903,8.326
101,0.376,17.922,18.299,16.675
102,5.260,18.593,23.853,49.991
103,2.697,17.424,20.121,16.672
104,15.138,22.765,37.903,50.014
105,2.743,23.849,26.592,8.354
106,4.617,22.357,26.974,33.299
107,0.740,22.364,23.103,16.660
108,4.785,20.130,24.915,33.335
109,2.661,22.221,24.882,16.661
110,7.951,23.800,31.751,50.009
